url,product_name,product_rating,product_rating_object,product_rating_max,rating,author_name,asin,product_rating_count,product_reviews_number,review_header,review_id,review_text,author_id,author_link,badge,brand,review_posted_date,review_country,review_images,helpful_count,price,Sentiment
https://www.amazon.com/product-reviews/B07F62W3TQ/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,"Srhythm NC25 Wireless Headphones Bluetooth 5.3,Lightweight Noise Cancelling Headset Over-Ear with Low Latency,Game Mode",4.4,"{""five_star"":15,""four_star"":4,""one_star"":1,""three_star"":1,""two_star"":869}",5.0,5.0,Angelica,B07F62W3TQ,23473.0,6924.0,Good buy,R1VWG3RWHEKBDI,"The quality is nice, feels soft on the ears, the sound is not bad it  has good bass. Definitely worth the buy!",AGCAH5OTF3IS4CCOQHHA5SWOD6LQ,https://www.amazon.com/gp/profile/amzn1.account.AGCAH5OTF3IS4CCOQHHA5SWOD6LQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Verified Purchase,Srhythm,"August 7, 2023",United States,[],0.0,,0.9089504588734019
https://www.amazon.com/product-reviews/B09BW29FJS/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7,"SHOKZ OpenMove - Open-Ear Bluetooth Sport Headphones - Bone Conduction Wireless Earphones - Sweatproof for Running and Workouts, with Sticker Pack (Grey)",4.4,"{""five_star"":6,""four_star"":1,""one_star"":417,""three_star"":559,""two_star"":247}",5.0,4.0,Amazon Customer,B09BW29FJS,9734.0,2412.0,It has a c charger,R2Q9B8C4XYUA99,Very clear sound and worked right out of the box,AEAEIVR57EXQP63ZMCF3DGVBDX6A,https://www.amazon.com/gp/profile/amzn1.account.AEAEIVR57EXQP63ZMCF3DGVBDX6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Verified Purchase,SHOKZ,"August 7, 2023",United States,[],0.0,,0.908336964520541
https://www.amazon.com/product-reviews/B07DGPSWY3/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8,"Skullcandy Jib In-Ear Wired Earbuds, Microphone, Works with iPhone Android and Laptops - Miami",4.5,"{""five_star"":3,""four_star"":888,""one_star"":507,""three_star"":487,""two_star"":229}",5.0,2.0,Gooberdad,B07DGPSWY3,8511.0,1559.0,Meh sound,R2UOLVNK5MFQCB,"Definitely low end quality ear buds. Wanted to try them dye to the price. Muffled tones throughout the range. Do yourself a favor and look for higher quality, but higher priced, ear buds. I do not recommend these.",AEBP3BBUQU3TMMMIO6WXJIELBHPQ,https://www.amazon.com/gp/profile/amzn1.account.AEBP3BBUQU3TMMMIO6WXJIELBHPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Verified Purchase,Skullcandy,"March 18, 2023",United States,[],0.0,,-0.8998894691467284
https://www.amazon.com/product-reviews/B003ELYQGG/ref=cm_cr_arp_d_paging_btm_next_3012?ie=UTF8&reviewerType=all_reviews&pageNumber=3012,Compatible with BMW 325i / 328i Reusable & Washable Replacement High Flow Drop-in Air Filter (Red),4.8,"{""five_star"":89,""four_star"":22,""one_star"":7,""three_star"":11,""two_star"":5}",5.0,4.0,Sergio,B06XXVYZQ4,169.0,43.0,Good but not the best,R7YGXFP00EVK,The air filter is great quality for the price. Not as good as a KnN filter but it’s close. The only issue is the filter is thinner than the stock paper one. This does not affect fitment but less filter equal less filtration but you get better air flow. Overall great product and I would definitely buy again.,AGCA2PJO5G7UMP37YBKBXLIDSIKQ,https://www.amazon.com/gp/profile/amzn1.account.AGCA2PJO5G7UMP37YBKBXLIDSIKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Verified Purchase,Auto Dynasty,"December 12, 2019",United States,[],0.0,,0.9007481011477383
https://www.amazon.com/Powerbeats-Pro-Wireless-Earphones-Headphone/dp/B07WBTX9FH/ref=sr_1_20?keywords=headphones&qid=1676645338&sr=8-20,"Powerbeats Pro Wireless Earphones - Apple H1 Headphone Chip, Class 1 Bluetooth, 9 Hours of Listening Time, Sweat Resistant Earbuds, Built-in Microphone - Navy",4.6,"{""five_star"":53902,""four_star"":6815,""one_star"":3456,""three_star"":2731,""two_star"":1739}",5.0,5.0,Tennnille Jenkins,B07WBTX9FH,68643.0,9943.0,I would buy again. Really like them.,R1CZO3BG0V1GD7,"I run, I chop wood, I do yard work. Not once has an earbud fell out. I don’t know if they are the best, I haven’t compared. These sound good, and they function great. I would buy again and recommend.",AF3ELAVKA73KMGREE4GUF6F5MMDQ,https://www.amazon.com//gp/profile/amzn1.account.AF3ELAVKA73KMGREE4GUF6F5MMDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Verified Purchase,Beats,"January 12, 2022",United States,[],0.0,,0.9088488600470802
https://www.amazon.com/product-reviews/B078XZX9MD?ie=UTF8&reviewerType=all_reviews&pageNumber=105,ELECDER i37 Kids Headphones Children Girls Boys Teens Foldable Adjustable On Ear Headphones 3.5mm Jack Compatible Cellphones Computer MP3/4 Kindle School Tablet Green/Purple,4.6,"{""five_star"":19956,""four_star"":3333,""one_star"":640,""three_star"":1145,""two_star"":405}",5.0,5.0,Stephanie,B078XZX9MD,25479.0,3866.0,Perfect for my 6yr old!,R3LN5I4LEW1VK2,"Purchased for my 6yr old for school (they required wired headphones). She said they were very comfortable and worked well. I cannot say how much noise cancellation or the volume was, but my daughter has no complaints!",AHOJPG6BU56LMJ4OBNNUGDMM4V3A,https://www.amazon.com//gp/profile/amzn1.account.AHOJPG6BU56LMJ4OBNNUGDMM4V3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Verified Purchase,ELECDER,"December 15, 2019",United States,[],0.0,,0.9079263427040793
https://www.amazon.com/JBL-230NC-Wireless-Cancelling-Headphones/dp/B09FM6PDHP/ref=sr_1_151?keywords=headphones&qid=1676645331&sr=8-151,JBL Tune 230NC TWS True Wireless In-Ear Noise Cancelling Headphones - Black,4.3,"{""five_star"":5466,""four_star"":1208,""one_star"":535,""three_star"":475,""two_star"":286}",5.0,5.0,Lynne,B09FM6PDHP,7970.0,1454.0,bomb.com,R2EPJTES21FL6A,"I can’t account for what the best noise cancellation is, as I don’t use over the ear headphones. But these, when someone talks to me even with only ONE earbud in, makes it hard for me to understand. They’re super comfortable. Insanely easy to use. The sound quality is amazing for me. I’m a dancer & I used these in my apartment when I was practicing line dances. If I whipped my head dramatically for a hair flip, yes, they fell out. But with all the turns I was doing, I never had an issue. I couldn’t even hear my boots click-clackingI managed to snag these on Prime Day I believe either $80 or $100. But I would a thousand percent pay full price. I’m so satisfied that I would be devastated to lose theseAlso. They don’t give me a headache. Idk why the Soundcore ones, do, but these don’tOne gripe is I can’t pair these with my Nintendo Switch & I don’t understand why",AHROJUM7WF2VSSON4MSDUGFHY6WQ,https://www.amazon.com//gp/profile/amzn1.account.AHROJUM7WF2VSSON4MSDUGFHY6WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Verified Purchase,JBL,"November 3, 2022",United States,[],16.0,$99.95,0.8843898773193358
https://www.amazon.com/Beats-Flex-Wireless-Earphones-Built/dp/B08L6ZYW21/ref=sr_1_156?keywords=headphones&qid=1676645331&sr=8-156,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, Class 1 Bluetooth, 12 Hours of Listening Time, Built-in Microphone - Beats Black",4.4,"{""five_star"":32509,""four_star"":6320,""one_star"":2815,""three_star"":2956,""two_star"":1505}",5.0,3.0,Megan,B08L6ZYW21,46101.0,5472.0,"Sound quality isn’t mindblowing, but they’re not bad for the price",RZSSFY19AODJ1,"They’re alright for the price, but as far as sound quality goes, they really aren’t better than a $20 pair of Walmart earbuds. The magnetic feature is convenient, and so far battery life has been great.",AEHEWTM4XY3KJ3DOQGEGRHFSALKQ,https://www.amazon.com//gp/profile/amzn1.account.AEHEWTM4XY3KJ3DOQGEGRHFSALKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Verified Purchase,Beats,"January 9, 2023",United States,[],0.0,,0.8951979875564574
https://www.amazon.com/ZIUTY-Wireless-Headphones-Waterproof-Earphones/dp/B0B9RJ68BV/ref=sr_1_277?keywords=headphones&qid=1676645334&sr=8-277,"ZIUTY Wireless Earbuds, V5.3 Headphones 50H Playtime with LED Digital Display Charging Case, IPX5 Waterproof Earphones with Mic for Android iOS Cell Phone Computer Laptop Sports",4.8,"{""five_star"":7320,""four_star"":438,""one_star"":144,""three_star"":160,""two_star"":98}",5.0,5.0,Amazon Customer,B0B9RJ68BV,8158.0,6664.0,Great,R24VBYWSNJBV46,No complaints!,/gp/profile/amzn1.account.AFVNBVL3UYFAD2V7F3X5YQAINTNQ,https://www.amazon.com//gp/profile/amzn1.account.AFVNBVL3UYFAD2V7F3X5YQAINTNQ,Verified Purchase,ZIUTY,"December 9, 2022",United States,,0.0, ,0.9016778794201937
https://www.amazon.com/Philips-X2HR-Over-Ear-Open-Air-Headphone/dp/B01N5VHLUG/ref=sr_1_204?keywords=headphones&qid=1676645373&sr=8-204,Philips Fidelio X2HR Over-Ear Open-Air Headphone 50mm Drivers- Black,4.6,"{""five_star"":5194,""four_star"":926,""one_star"":124,""three_star"":301,""two_star"":122}",5.0,5.0,fiona priestley,B01N5VHLUG,6667.0,1977.0,Yes. £150? Definitely yes.,R1JZ8HOV9PMIZY,"Originally I felt a bit snobbish and wasn't going to buy Phillips headphones. I was looking at Grado, Senheiser and so on. Phillips is not what I consider an audiophile brand. The reviews won me over though. So I took what thought was a bit of a punt.For the money these are really nice. Weighty without becoming uncomfortable. Really nice materials, premium feel. Soft ear cups. Very easy to wear.The sound is the clincher though. Rhythmical, deep, excellent sound staging and imagery. Lots of detail.Hifi is the law of diminishing returns market. Stick £150 into these. Get yourself a decent DAC for another £60. That's £210 that you'll have to triple to get noticeably better. They are bloody good headphones. Well worth the price. If you are minted, fine, go the extra mile - if you're not these will really make you smile.",,https://www.amazon.com/undefined,Verified Purchase,Philips Audio,"December 8, 2019",United Kingdom,,2.0, ,0.9075267748399214
